,scores,weight,cluster,mean,var,date,doc_id
6,0.004,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
7,0.0,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
8,0.0,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
9,0.17723333333333335,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
10,0.0,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
11,-0.2088,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
12,0.0,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
13,0.004,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
14,0.262625,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
15,0.004,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
0,0.0,0.03636363636363636,3,-0.0669,0.0044756100000000005,2017-11-24,128
1,-0.1338,0.03636363636363636,3,-0.0669,0.0044756100000000005,2017-11-24,128
0,0.0,0.03636363636363636,5,0.03765,0.0014175225000000002,2017-11-24,128
1,0.0753,0.03636363636363636,5,0.03765,0.0014175225000000002,2017-11-24,128
0,0.0,0.09090909090909091,7,0.0019699999999999987,0.0039767836,2017-11-24,128
1,0.1026,0.09090909090909091,7,0.0019699999999999987,0.0039767836,2017-11-24,128
2,-0.09675,0.09090909090909091,7,0.0019699999999999987,0.0039767836,2017-11-24,128
3,0.004,0.09090909090909091,7,0.0019699999999999987,0.0039767836,2017-11-24,128
4,0.0,0.09090909090909091,7,0.0019699999999999987,0.0039767836,2017-11-24,128
0,-0.2088,0.09090909090909091,10,-0.01731,0.011219664400000003,2017-11-24,128
1,0.11825000000000001,0.09090909090909091,10,-0.01731,0.011219664400000003,2017-11-24,128
2,0.0,0.09090909090909091,10,-0.01731,0.011219664400000003,2017-11-24,128
3,0.004,0.09090909090909091,10,-0.01731,0.011219664400000003,2017-11-24,128
4,0.0,0.09090909090909091,10,-0.01731,0.011219664400000003,2017-11-24,128
0,0.004,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
1,0.04755,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
2,0.16804999999999998,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
3,0.0,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
4,0.0,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
5,0.0,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
6,-0.17654999999999998,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
7,0.026650000000000004,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
8,0.11156666666666666,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
9,0.345,0.18181818181818182,12,0.05262666666666667,0.016617439066666663,2017-11-24,128
0,0.004,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
1,0.2193,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
2,0.004,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
3,0.1743,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
4,0.004,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
5,0.0,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
6,0.1878,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
7,0.0,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
8,0.0,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
9,-0.2715,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
10,0.004,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
11,0.0,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
12,0.0,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
13,0.004,0.2545454545454545,13,0.023564285714285715,0.012840015153061225,2017-11-24,128
0,0.0,0.4,1,-0.006237499999999999,0.00017461921874999996,2017-08-04,129
1,0.004,0.4,1,-0.006237499999999999,0.00017461921874999996,2017-08-04,129
2,0.0,0.4,1,-0.006237499999999999,0.00017461921874999996,2017-08-04,129
3,-0.028949999999999997,0.4,1,-0.006237499999999999,0.00017461921874999996,2017-08-04,129
0,-0.2138,0.1,3,-0.2138,0.0,2017-08-04,129
0,0.0,0.1,6,0.0,0.0,2017-08-04,129
0,0.0,0.1,10,0.0,0.0,2017-08-04,129
0,0.0,0.2,11,0.002,4e-06,2017-08-04,129
